City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Victoria,22.2855,114.1577,66.18,36,13,1.01,HK,2021-12-03 17:32:57
151,Okhotsk,59.3833,143.3,-13.32,87,88,14.97,RU,2021-12-03 17:33:58
152,Rio Grande,-32.035,-52.0986,78.91,63,64,16.69,BR,2021-12-03 17:30:51
153,Pangnirtung,66.1451,-65.7125,17.6,79,75,5.75,CA,2021-12-03 17:33:58
154,Aksarka,66.5606,67.7975,-8.99,90,100,12.55,RU,2021-12-03 17:33:58
155,Bagdarin,54.4333,113.6,-0.04,96,33,3.69,RU,2021-12-03 17:33:59
156,Kitimat,54.0524,-128.6534,35.91,31,100,1.01,CA,2021-12-03 17:30:25
157,Sosnovka,56.255,51.2842,34.45,93,98,8.99,RU,2021-12-03 17:33:59
158,Matane,48.8286,-67.522,25.83,69,100,23.2,CA,2021-12-03 17:34:00
159,Saint-Philippe,-21.3585,55.7679,78.39,87,28,10.0,RE,2021-12-03 17:34:00
160,Bay City,43.5945,-83.8889,37.4,72,90,0.0,US,2021-12-03 17:34:00
161,Bandarbeyla,9.4942,50.8122,78.4,62,2,20.65,SO,2021-12-03 17:34:00
162,Broome,42.2506,-75.833,38.46,70,90,5.01,US,2021-12-03 17:32:39
163,Banda Aceh,5.5577,95.3222,77.27,88,100,11.65,ID,2021-12-03 17:34:01
164,Severo-Kurilsk,50.6789,156.125,39.25,86,80,17.85,RU,2021-12-03 17:34:01
165,Saint Anthony,45.0205,-93.218,42.12,90,90,1.01,US,2021-12-03 17:34:02
166,Narsaq,60.9167,-46.05,17.82,65,28,10.71,GL,2021-12-03 17:34:02
167,Hilo,19.7297,-155.09,74.62,72,7,4.16,US,2021-12-03 17:34:03
168,East London,-33.0153,27.9116,67.14,72,20,9.22,ZA,2021-12-03 17:31:01
169,Broken Hill,-31.95,141.4333,65.91,37,100,16.11,AU,2021-12-03 17:34:03
170,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,75,75,8.95,RU,2021-12-03 17:34:04
171,Porto Velho,-8.7619,-63.9039,77.05,88,75,6.91,BR,2021-12-03 17:34:04
172,Tshela,-4.9833,12.9333,74.82,98,99,1.77,CD,2021-12-03 17:34:04
173,Vanimo,-2.6741,141.3028,78.22,87,76,2.82,PG,2021-12-03 17:34:04
174,Pastos Bons,-6.6017,-44.0767,88.63,49,76,5.7,BR,2021-12-03 17:34:05
175,Saint George,37.1041,-113.5841,62.35,42,1,0.0,US,2021-12-03 17:31:02
176,Nanortalik,60.1432,-45.2371,25.07,49,37,8.03,GL,2021-12-03 17:34:05
177,Saldanha,-33.0117,17.9442,66.25,77,26,24.14,ZA,2021-12-03 17:34:06
178,Dnestrovsc,46.6222,29.9133,46.35,77,100,16.82,MD,2021-12-03 17:34:06
179,Puerto Leguizamo,-0.1934,-74.7819,82.47,80,100,5.48,CO,2021-12-03 17:34:06
180,Kaitangata,-46.2817,169.8464,56.84,99,61,2.35,NZ,2021-12-03 17:34:07
181,Santo Augusto,-27.8508,-53.7772,85.46,31,0,3.22,BR,2021-12-03 17:34:07
182,Balikpapan,-1.2675,116.8289,77.68,89,90,3.91,ID,2021-12-03 17:34:07
183,Paragominas,-2.9667,-47.4833,86.27,66,78,1.19,BR,2021-12-03 17:34:08
184,Fairbanks,64.8378,-147.7164,-20.4,72,1,0.0,US,2021-12-03 17:35:08
185,Guarapari,-20.6667,-40.4975,76.89,84,75,6.06,BR,2021-12-03 17:35:08
186,Kutum,14.2,24.6667,71.28,22,0,7.54,SD,2021-12-03 17:35:08
187,Nelson Bay,-32.7167,152.15,70.09,96,64,4.41,AU,2021-12-03 17:35:09
188,Bowen,-20.0167,148.2333,75.42,88,3,8.08,AU,2021-12-03 17:35:09
189,Luderitz,-26.6481,15.1594,63.28,81,71,5.39,NA,2021-12-03 17:35:10
190,Arrifes,37.7667,-25.7,62.24,94,75,6.91,PT,2021-12-03 17:35:10
191,Husavik,66.0449,-17.3389,19.31,80,100,12.97,IS,2021-12-03 17:35:10
192,Currais Novos,-6.2608,-36.5178,95.4,27,96,18.72,BR,2021-12-03 17:35:11
193,Teacapan,22.55,-105.75,83.19,55,5,4.38,MX,2021-12-03 17:35:11
194,Berlevag,70.8578,29.0864,24.75,68,75,3.44,NO,2021-12-03 17:35:11
195,Bilibino,68.0546,166.4372,-17.3,98,100,11.59,RU,2021-12-03 17:35:12
196,Bardiyah,31.7561,25.0865,64.22,43,100,11.52,LY,2021-12-03 17:35:03
197,Pangkalanbuun,-2.6833,111.6167,74.68,97,97,3.27,ID,2021-12-03 17:35:12
198,Ayan,56.45,138.1667,-4.61,83,34,16.31,RU,2021-12-03 17:35:12
199,Tiksi,71.6872,128.8694,-33.0,99,61,5.5,RU,2021-12-03 17:35:13
200,Acapulco,16.8634,-99.8901,84.02,58,75,0.0,MX,2021-12-03 17:34:46
201,Bhagalpur,25.25,87.0,69.89,57,100,3.02,IN,2021-12-03 17:35:13
202,Bluff,-46.6,168.3333,58.8,96,83,6.82,NZ,2021-12-03 17:35:14
203,Ukiah,39.1502,-123.2078,68.04,80,1,0.0,US,2021-12-03 17:35:14
204,Gamba,-2.65,10.0,77.0,87,100,4.56,GA,2021-12-03 17:35:14
205,Monte Patria,-30.6919,-70.9467,83.25,25,0,10.87,CL,2021-12-03 17:30:55
206,Tukrah,32.5341,20.5791,64.58,42,100,15.01,LY,2021-12-03 17:35:15
207,Green River,41.5286,-109.4662,55.15,46,79,4.54,US,2021-12-03 17:35:15
208,Airai,-8.9266,125.4092,62.67,87,100,2.01,TL,2021-12-03 17:34:01
209,Faanui,-16.4833,-151.75,81.25,70,97,20.89,PF,2021-12-03 17:35:15
210,Mujiayingzi,42.1167,118.7833,26.51,59,3,5.53,CN,2021-12-03 17:35:16
211,Clinton,42.587,-82.9199,37.72,79,90,1.01,US,2021-12-03 17:35:16
212,Padang,-0.9492,100.3543,78.85,79,100,3.65,ID,2021-12-03 17:32:22
213,Kapit,2.0167,112.9333,74.5,99,100,2.35,MY,2021-12-03 17:35:16
214,Margate,51.3813,1.3862,47.88,89,100,1.99,GB,2021-12-03 17:35:11
215,Olinda,-8.0089,-34.8553,85.73,70,40,10.36,BR,2021-12-03 17:34:26
216,Faya,18.3851,42.4509,60.91,29,3,4.09,SA,2021-12-03 17:35:17
217,Kaspiyskiy,45.3929,47.3707,45.39,83,100,14.92,RU,2021-12-03 17:35:17
218,Lorengau,-2.0226,147.2712,82.0,79,19,7.87,PG,2021-12-03 17:35:17
219,Lavrentiya,65.5833,-171.0,11.68,94,100,16.93,RU,2021-12-03 17:35:18
220,Esperance,-33.8667,121.9,55.24,80,1,12.48,AU,2021-12-03 17:35:18
221,Souillac,-20.5167,57.5167,79.18,83,40,4.61,MU,2021-12-03 17:35:18
222,Luganville,-15.5333,167.1667,79.02,82,100,8.12,VU,2021-12-03 17:35:19
223,Apatou,5.155,-54.3472,82.04,81,94,4.56,GF,2021-12-03 17:35:19
224,Tamuin,21.9833,-98.75,80.69,56,12,3.76,MX,2021-12-03 17:35:19
225,Hofn,64.2539,-15.2082,23.02,58,0,8.05,IS,2021-12-03 17:35:19
226,Sikasso,10.9167,-7.0,87.71,15,65,3.11,ML,2021-12-03 17:35:20
227,Kruisfontein,-34.0033,24.7314,61.88,76,80,5.23,ZA,2021-12-03 17:32:35
228,Almaznyy,48.0448,40.045,46.54,75,100,14.14,RU,2021-12-03 17:35:20
229,Carnarvon,-24.8667,113.6333,71.67,83,0,19.57,AU,2021-12-03 17:36:20
230,Coquimbo,-29.9533,-71.3436,65.93,68,20,11.5,CL,2021-12-03 17:31:38
231,Ceres,37.5949,-120.9577,62.51,93,90,0.0,US,2021-12-03 17:31:28
232,Sao Filipe,14.8961,-24.4956,75.9,69,28,11.16,CV,2021-12-03 17:36:21
233,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,73,75,11.5,EC,2021-12-03 17:36:21
234,Pombas,17.1503,-25.0201,74.98,68,7,18.3,CV,2021-12-03 17:36:22
235,Buy,58.4786,41.53,30.31,98,100,7.4,RU,2021-12-03 17:36:22
236,Kiama,-34.6833,150.8667,65.37,93,100,1.99,AU,2021-12-03 17:36:22
237,Talara,-4.5772,-81.2719,77.76,65,0,14.97,PE,2021-12-03 17:36:23
238,Yerbogachen,61.2767,108.0108,27.9,83,100,13.76,RU,2021-12-03 17:36:23
239,Lompoc,34.6391,-120.4579,55.08,96,90,3.44,US,2021-12-03 17:36:23
240,Wadi Musa,30.3222,35.4793,53.17,51,100,3.36,JO,2021-12-03 17:36:24
241,Tambacounda,13.7539,-13.7586,102.25,8,0,6.91,SN,2021-12-03 17:36:24
242,Turbat,26.0023,63.044,69.98,65,8,2.84,PK,2021-12-03 17:36:24
243,Akdepe,42.0551,59.3788,39.29,62,100,8.9,TM,2021-12-03 17:36:25
244,Namibe,-15.1961,12.1522,73.04,66,7,11.95,AO,2021-12-03 17:36:25
245,Dubbo,-32.25,148.6167,62.73,88,21,0.0,AU,2021-12-03 17:36:25
246,Haines Junction,60.7522,-137.5108,-4.05,65,100,6.91,CA,2021-12-03 17:36:25
247,Victor Harbor,-35.5667,138.6167,57.99,66,1,1.99,AU,2021-12-03 17:36:26
248,Garowe,8.4054,48.4845,72.03,61,2,19.39,SO,2021-12-03 17:36:26
249,Hovd,48.0056,91.6419,17.28,49,53,0.83,MN,2021-12-03 17:36:27
250,San Patricio,28.017,-97.5169,79.07,59,86,9.66,US,2021-12-03 17:36:27
251,Umm Lajj,25.0213,37.2685,76.98,60,12,7.76,SA,2021-12-03 17:36:27
252,Bambanglipuro,-7.95,110.2833,77.92,88,85,3.6,ID,2021-12-03 17:36:28
253,Honiara,-9.4333,159.95,77.02,86,73,2.57,SB,2021-12-03 17:36:28
254,Chute-Aux-Outardes,49.1168,-68.399,24.78,68,90,18.41,CA,2021-12-03 17:36:29
255,Ponta Do Sol,32.6667,-17.1,67.71,63,71,9.46,PT,2021-12-03 17:36:29
256,Balve,51.3333,7.8667,38.35,96,100,14.0,DE,2021-12-03 17:36:29
257,Sampit,-2.5333,112.95,75.79,96,97,1.77,ID,2021-12-03 17:36:30
258,Beatrice,40.2681,-96.747,58.17,47,1,13.8,US,2021-12-03 17:36:30
259,Ostrovnoy,68.0531,39.5131,20.21,68,100,8.16,RU,2021-12-03 17:36:30
260,Tilichiki,60.4667,166.1,22.15,71,94,23.11,RU,2021-12-03 17:36:30
261,Pyinmana,19.7333,96.2167,66.0,88,40,2.06,MM,2021-12-03 17:36:31
262,Thompson,55.7435,-97.8558,-5.64,77,90,11.5,CA,2021-12-03 17:36:31
263,Praia,14.9215,-23.5087,77.54,61,20,21.85,CV,2021-12-03 17:32:16
264,Mehamn,71.0357,27.8492,24.98,73,0,6.91,NO,2021-12-03 17:36:31
265,Kijang,35.2442,129.2139,38.93,44,0,14.52,KR,2021-12-03 17:36:32
266,Nioro,13.35,-15.75,93.07,12,74,6.42,GM,2021-12-03 17:36:32
267,Zolochiv,49.806,24.8944,25.27,89,46,8.84,UA,2021-12-03 17:36:32
268,Kinablangan,7.6947,126.5503,76.59,89,100,7.14,PH,2021-12-03 17:36:33
269,Jalu,29.0331,21.5482,65.37,29,100,11.18,LY,2021-12-03 17:36:33
270,Tasiilaq,65.6145,-37.6368,23.16,59,3,8.66,GL,2021-12-03 17:36:33
271,Macas,-2.3167,-78.1167,78.55,69,75,4.61,EC,2021-12-03 17:37:34
272,Nantucket,41.2835,-70.0995,46.51,51,20,21.85,US,2021-12-03 17:34:50
273,Kamina,-8.7386,24.9906,64.74,96,70,8.34,CD,2021-12-03 17:37:34
274,Vuktyl,63.8567,57.3094,3.92,94,99,5.35,RU,2021-12-03 17:37:34
275,Kinkala,-4.3614,14.7644,74.05,91,88,2.68,CG,2021-12-03 17:37:34
276,Port Macquarie,-31.4333,152.9167,64.36,94,75,0.0,AU,2021-12-03 17:37:35
277,Qaqortoq,60.7167,-46.0333,18.1,64,33,10.07,GL,2021-12-03 17:37:35
278,Bauchi,10.5,10.0,77.11,22,8,4.23,NG,2021-12-03 17:37:35
279,Waingapu,-9.6567,120.2641,79.83,82,99,1.74,ID,2021-12-03 17:37:36
280,Kavieng,-2.5744,150.7967,81.82,76,20,6.87,PG,2021-12-03 17:37:36
281,Roma,43.2128,-75.4557,36.86,57,40,1.01,US,2021-12-03 17:37:36
282,Huambo,-12.7761,15.7392,62.42,91,96,2.66,AO,2021-12-03 17:37:37
283,Saint-Georges,12.0564,-61.7485,85.68,70,20,17.27,GD,2021-12-03 17:37:37
284,Half Moon Bay,37.4636,-122.4286,56.71,88,90,6.91,US,2021-12-03 17:37:37
285,Storsteinnes,69.2408,19.2344,15.8,90,28,6.87,NO,2021-12-03 17:37:38
286,Fiumicino,41.7675,12.2291,53.98,68,0,11.5,IT,2021-12-03 17:37:38
287,Inuvik,68.3499,-133.7218,-20.99,69,20,3.44,CA,2021-12-03 17:36:58
288,Elizabeth City,36.2946,-76.2511,63.01,49,1,3.0,US,2021-12-03 17:37:38
289,Xining,36.6167,101.7667,27.23,37,0,2.55,CN,2021-12-03 17:37:39
290,Ipora,-16.4419,-51.1178,84.97,60,80,3.13,BR,2021-12-03 17:37:39
291,Laguna,38.421,-121.4238,69.64,100,90,3.44,US,2021-12-03 17:37:39
292,Grand Gaube,-20.0064,57.6608,79.2,85,8,3.0,MU,2021-12-03 17:37:40
293,Chivilcoy,-34.8957,-60.0167,77.72,10,84,8.01,AR,2021-12-03 17:37:40
