City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Srivardhan,IN,77.77,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
451,Launceston,AU,65.84,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
458,Mudgee,AU,71.65,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
459,San Diego De Los Banos,CU,66.24,few clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
460,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
462,Sawakin,SD,78.91,few clouds,19.1059,37.3321,فندق الدويم
471,Nanakuli,US,70.7,moderate rain,21.3906,-158.1547,Camp Pālehua
475,Isiolo,KE,66.94,scattered clouds,0.3546,37.5822,Gaddisa Hotel
479,Pandan,PH,80.73,broken clouds,14.0453,124.1694,Bonifacio Lodge
485,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
486,Itaituba,BR,73.4,overcast clouds,-4.2761,-55.9836,Hotel Campos
487,Bengkulu,ID,78.46,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
489,Uthal,PK,72.27,clear sky,25.8072,66.6219,Al-Mustafa Hotel
492,Biak,ID,78.66,light rain,-0.9131,122.8766,Penginapan Kim
493,Trenggalek,ID,80.98,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
496,Pemba,MZ,80.83,broken clouds,-12.974,40.5178,Guesthouse Samotina
500,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
502,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
505,Hunucma,MX,72.09,few clouds,21.0167,-89.8667,Casa de Maribel Pamplona Poot
508,Ondjiva,AO,69.6,overcast clouds,-17.0667,15.7333,COMBUESA
510,Port Macquarie,AU,67.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
511,Djibo,BF,72.0,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
513,Angoche,MZ,78.3,clear sky,-16.2325,39.9086,Guest House HESADA
515,Bodden Town,KY,79.93,overcast clouds,19.2833,-81.25,Will T Place
516,Xai-Xai,MZ,76.41,broken clouds,-25.0519,33.6442,Complexo da Familia
517,Imphal,IN,67.91,mist,24.8167,93.95,State Guest House
521,Gwanda,ZW,70.25,broken clouds,-20.9333,29.0,Mafax Homeways
524,Ankazoabo,MG,81.95,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
526,Dubbo,AU,77.13,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
527,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
529,Cockburn Town,TC,80.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
534,Hervey Bay,AU,82.51,broken clouds,-25.2986,152.8535,Shelly Bay Resort
536,Kieta,PG,83.46,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
540,Sambava,MG,77.77,light rain,-14.2667,50.1667,Melrose
541,Cayenne,GF,75.24,mist,4.9333,-52.3333,Hôtel Le Dronmi
545,Mercedes,AR,69.84,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
547,Magadi,IN,79.38,few clouds,12.9667,77.2333,Gowdru Military Hotel Magadi
550,Victor Harbor,AU,82.18,overcast clouds,-35.5667,138.6167,McCracken Country Club
554,Cravo Norte,CO,80.28,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
556,Victoria Point,AU,80.82,broken clouds,-27.5833,153.3,Bay Retreat Motel
561,Ugoofaaru,MV,82.35,scattered clouds,5.6667,73.0,Ungoofaaru Inn
563,Codajas,BR,72.79,broken clouds,-3.8367,-62.0569,Atlântic Hotel
567,Todos Santos,MX,77.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
572,Kuantan,MY,84.31,few clouds,3.8077,103.326,Hotel Sentral Kuantan
577,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
584,Marsh Harbour,BS,75.6,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
588,Conakry,GN,80.67,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
591,Kudahuvadhoo,MV,82.18,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
595,Caravelas,BR,70.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
599,Saint-Pierre,RE,83.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
602,Bacolod,PH,81.28,overcast clouds,10.6667,122.95,Planta Hotel & Residences
609,Bhadrachalam,IN,77.05,broken clouds,17.6667,80.8833,Hotel Srinidhi Residency
612,Samfya,ZM,70.56,few clouds,-11.3649,29.5565,Chita Lodge Samfya
616,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
619,Takaka,NZ,68.38,overcast clouds,-40.85,172.8,Golden Bay Motels
621,Abu Zabad,SD,69.78,clear sky,12.35,29.25,حامد محمد نور
622,Pathalgaon,IN,72.46,overcast clouds,22.5667,83.4667,Queens Park Marriage Garden
625,Concordia,AR,68.79,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
628,Fare,PF,81.43,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
629,Sao Filipe,CV,75.15,overcast clouds,14.8961,-24.4956,Hotel Xaguate
631,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
634,Camargo,MX,65.95,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
636,Kasongo,CD,66.56,light rain,-4.45,26.6667,Guest Hôtel
640,Xuddur,SO,70.47,broken clouds,4.1213,43.8894,Banjanay Hotel
641,Pimentel,PE,66.06,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
642,Irara,BR,70.23,light rain,-12.05,-38.7667,Hotel Avenida
643,Chintamani,IN,75.45,clear sky,13.4,78.0667,Aslam khan home
644,Ilihan,PH,80.64,broken clouds,13.6256,121.0753,Kamantigue Beach and Diving Resort
645,Vedasandur,IN,80.56,clear sky,10.5333,77.95,Dolphin hotel vedasandur
646,Tura,IN,76.15,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
654,Gunupur,IN,69.62,overcast clouds,19.0833,83.8167,Sree Satya Residency
658,Tocopilla,CL,67.28,few clouds,-22.092,-70.1979,Hotel Galvarino
659,Kisangani,CD,71.29,light rain,0.5167,25.2,Grand Ramela Hotel
660,Mogadishu,SO,79.63,overcast clouds,2.0371,45.3438,Hotel Juba
663,Parintins,BR,74.41,overcast clouds,-2.6283,-56.7358,Cama e Cafe
664,Benguela,AO,76.41,light rain,-12.5763,13.4055,Hotel Praia Morena
666,Huarmey,PE,66.9,overcast clouds,-10.0681,-78.1522,Hotel Miramar
668,Kailua,US,70.74,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
670,Jibuti,DJ,71.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
671,Vaitape,PF,81.05,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
674,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
675,Qui Nhon,VN,71.62,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
676,Dhidhdhoo,MV,82.31,broken clouds,6.8833,73.1,Dhidhoo beach
678,Formosa,AR,73.38,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
