City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Pangnirtung,CA,66.1451,-65.7125,15.94,94,100,3.11,light snow
145,Hobyo,SO,5.3505,48.5268,78.82,73,38,18.01,scattered clouds
146,Safita,SY,34.8205,36.1153,61.84,51,93,11.56,overcast clouds
147,Geraldton,AU,-28.7667,114.6,88.21,33,0,18.41,clear sky
148,Harper,LR,4.375,-7.7169,78.84,84,59,5.93,broken clouds
149,Fort Nelson,CA,58.8053,-122.7002,-25.46,100,46,1.63,scattered clouds
150,Souillac,MU,-20.5167,57.5167,81.36,64,10,11.56,clear sky
151,Espanola,US,35.9911,-106.0806,51.78,45,0,2.71,clear sky
152,Morondava,MG,-20.2833,44.2833,81.27,74,16,4.36,few clouds
153,Anadyr,RU,64.75,177.4833,14.68,89,100,23.51,light snow
154,Tasiilaq,GL,65.6145,-37.6368,28.56,91,100,49.66,snow
155,Maarianhamina,AX,60.0973,19.9348,15.66,92,90,9.22,light snow
156,Port Elizabeth,ZA,-33.918,25.5701,63.1,95,100,20.02,light rain
157,Cherskiy,RU,68.75,161.3,-39.68,100,74,0.98,broken clouds
158,Acajutla,SV,13.5928,-89.8275,79.9,68,23,5.95,few clouds
159,Hambantota,LK,6.1241,81.1185,80.94,100,20,2.3,few clouds
160,Kokopo,PG,-4.352,152.2633,84.11,76,100,9.26,moderate rain
161,Tonantins,BR,-2.8731,-67.8022,73.87,98,100,1.23,overcast clouds
162,Bar Harbor,US,44.3876,-68.2039,27.23,72,90,6.91,snow
163,Tretten,NO,61.3142,10.3007,14.2,98,100,1.54,overcast clouds
164,Coquimbo,CL,-29.9533,-71.3436,58.73,88,90,3.44,overcast clouds
165,Quatre Cocos,MU,-20.2078,57.7625,81.09,64,22,10.87,few clouds
166,Saint George,US,37.1041,-113.5841,53.55,42,1,1.99,clear sky
167,Khorixas,NA,-20.3667,14.9667,54.88,46,0,2.98,clear sky
168,Lorengau,PG,-2.0226,147.2712,81.25,85,100,16.4,moderate rain
169,Grand-Santi,GF,4.25,-54.3833,71.6,99,100,1.28,overcast clouds
170,Torbay,CA,47.6666,-52.7314,30.67,63,2,5.01,clear sky
171,Lebu,CL,-37.6167,-73.65,52.97,89,0,17.2,clear sky
172,Tambo Grande,PE,-4.9269,-80.3447,73.04,64,100,7.4,light rain
173,Ahipara,NZ,-35.1667,173.1667,72.72,70,29,12.82,scattered clouds
174,Okhotsk,RU,59.3833,143.3,-9.67,88,100,11.27,overcast clouds
175,Nome,US,64.5011,-165.4064,12.27,85,90,20.71,snow
176,Namibe,AO,-15.1961,12.1522,69.13,73,40,3.94,scattered clouds
177,Front Royal,US,38.9182,-78.1944,46.27,65,69,4.27,broken clouds
178,San Francisco,US,37.7749,-122.4194,54.86,84,90,1.99,overcast clouds
179,Utiel,ES,39.5667,-1.2,47.41,74,51,17.72,broken clouds
180,Pisco,PE,-13.7,-76.2167,65.01,88,0,8.05,clear sky
181,Kavaratti,IN,10.5669,72.642,81.27,77,26,10.71,scattered clouds
182,Carnarvon,AU,-24.8667,113.6333,84.27,58,0,10.36,clear sky
183,Tanete,ID,-3.9443,119.7848,82.2,80,94,10.45,overcast clouds
184,Lagoa,PT,39.05,-27.9833,63.03,78,13,10.36,few clouds
185,Tuatapere,NZ,-46.1333,167.6833,51.82,88,100,6.62,light rain
186,Kaduqli,SD,11.0167,29.7167,72.84,29,24,8.34,few clouds
187,Pemangkat,ID,1.1667,108.9667,81.41,81,78,9.4,broken clouds
188,Lodwar,KE,3.1191,35.5973,79.47,58,53,10.07,broken clouds
189,Dingle,PH,10.9995,122.6711,79.77,77,87,14.81,overcast clouds
190,Ulety,RU,51.3572,112.4849,27.68,67,12,14.5,few clouds
191,Tisovec,SK,48.6774,19.9436,34.65,95,100,1.63,snow
192,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,85,41,1.34,scattered clouds
193,Parana,AR,-31.732,-60.5238,73.54,65,53,5.7,broken clouds
194,Ponta Do Sol,PT,32.6667,-17.1,65.03,67,93,9.31,overcast clouds
195,La Baule-Escoublac,FR,47.2922,-2.364,40.95,85,0,11.5,clear sky
196,Leningradskiy,RU,69.3833,178.4167,-21.51,93,56,4.83,broken clouds
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.28,57,43,14.85,scattered clouds
198,Kulhudhuffushi,MV,6.6221,73.07,82.35,73,72,5.82,broken clouds
199,Ribeira Grande,PT,38.5167,-28.7,63.66,74,30,13.02,scattered clouds
200,Ancud,CL,-41.8697,-73.8203,54.93,76,0,3.74,clear sky
201,Sarakhs,IR,36.5449,61.1577,42.94,75,0,6.15,clear sky
202,Normandin,CA,48.8333,-72.5321,12.83,84,100,2.15,overcast clouds
